num_neurons, connection_probability, num_repeat, setup_time, simulate_time
10, 0.25, 0, 7.891654968261719e-05, 0.02668309211730957
10, 0.25, 1, 5.316734313964844e-05, 0.020193815231323242
10, 0.25, 2, 3.504753112792969e-05, 0.020830869674682617
10, 0.25, 3, 5.7697296142578125e-05, 0.020481109619140625
10, 0.25, 4, 4.9114227294921875e-05, 0.020127058029174805
10, 0.25, 5, 3.910064697265625e-05, 0.02126002311706543
10, 0.25, 6, 5.793571472167969e-05, 0.02043294906616211
10, 0.25, 7, 5.7220458984375e-05, 0.02223992347717285
10, 0.25, 8, 3.814697265625e-05, 0.02028799057006836
10, 0.25, 9, 3.1948089599609375e-05, 0.019913911819458008
10, 0.5, 0, 4.696846008300781e-05, 0.023663997650146484
10, 0.5, 1, 4.601478576660156e-05, 0.020639657974243164
10, 0.5, 2, 4.8160552978515625e-05, 0.01894092559814453
10, 0.5, 3, 4.1961669921875e-05, 0.02011418342590332
10, 0.5, 4, 0.00010395050048828125, 0.018718957901000977
10, 0.5, 5, 3.886222839355469e-05, 0.0226900577545166
10, 0.5, 6, 5.698204040527344e-05, 0.023118019104003906
10, 0.5, 7, 6.794929504394531e-05, 0.019521713256835938
10, 0.5, 8, 4.6253204345703125e-05, 0.021548986434936523
10, 0.5, 9, 6.985664367675781e-05, 0.019070863723754883
10, 0.75, 0, 5.2928924560546875e-05, 0.019656896591186523
10, 0.75, 1, 5.3882598876953125e-05, 0.019201040267944336
10, 0.75, 2, 4.792213439941406e-05, 0.0189669132232666
10, 0.75, 3, 4.601478576660156e-05, 0.024712085723876953
10, 0.75, 4, 9.202957153320312e-05, 0.019320011138916016
10, 0.75, 5, 8.392333984375e-05, 0.023597002029418945
10, 0.75, 6, 4.887580871582031e-05, 0.02121281623840332
10, 0.75, 7, 5.125999450683594e-05, 0.018796920776367188
10, 0.75, 8, 4.887580871582031e-05, 0.021480798721313477
10, 0.75, 9, 3.600120544433594e-05, 0.020183086395263672
10, 1.0, 0, 4.792213439941406e-05, 0.020460844039916992
10, 1.0, 1, 5.2928924560546875e-05, 0.018995285034179688
10, 1.0, 2, 4.696846008300781e-05, 0.01914501190185547
10, 1.0, 3, 4.76837158203125e-05, 0.021604061126708984
10, 1.0, 4, 4.9114227294921875e-05, 0.019374847412109375
10, 1.0, 5, 9.703636169433594e-05, 0.02032303810119629
10, 1.0, 6, 4.291534423828125e-05, 0.020376205444335938
10, 1.0, 7, 0.00010609626770019531, 0.019877910614013672
10, 1.0, 8, 4.887580871582031e-05, 0.019662857055664062
10, 1.0, 9, 4.38690185546875e-05, 0.01831817626953125
100, 0.25, 0, 0.00038504600524902344, 0.023547887802124023
100, 0.25, 1, 0.0003809928894042969, 0.03385019302368164
100, 0.25, 2, 0.0007829666137695312, 0.034928083419799805
100, 0.25, 3, 0.0005769729614257812, 0.03597712516784668
100, 0.25, 4, 0.0007340908050537109, 0.033437252044677734
100, 0.25, 5, 0.0005168914794921875, 0.032659053802490234
100, 0.25, 6, 0.0004868507385253906, 0.034516096115112305
100, 0.25, 7, 0.0008370876312255859, 0.03361797332763672
100, 0.25, 8, 0.0005371570587158203, 0.031968116760253906
100, 0.25, 9, 0.0007119178771972656, 0.03501009941101074
100, 0.5, 0, 0.0009500980377197266, 0.04536914825439453
100, 0.5, 1, 0.0007002353668212891, 0.035878896713256836
100, 0.5, 2, 0.0007250308990478516, 0.026127099990844727
100, 0.5, 3, 0.0006957054138183594, 0.024440288543701172
100, 0.5, 4, 0.0010769367218017578, 0.03358101844787598
100, 0.5, 5, 0.001001119613647461, 0.032006025314331055
100, 0.5, 6, 0.0009999275207519531, 0.03515291213989258
100, 0.5, 7, 0.0010099411010742188, 0.03486800193786621
100, 0.5, 8, 0.00113677978515625, 0.03309321403503418
