num_neurons, connection_probability, num_repeat, setup_time, simulate_time
1000, 1.0, 0, 0.14613986015319824, 0.09610223770141602
1000, 1.0, 1, 0.14717721939086914, 0.0988607406616211
1000, 1.0, 2, 0.14304804801940918, 0.09185314178466797
1000, 1.0, 3, 0.14746618270874023, 0.10234618186950684
1000, 1.0, 4, 0.1419661045074463, 0.09602999687194824
1000, 1.0, 5, 0.14427995681762695, 0.09430289268493652
1000, 1.0, 6, 0.14813017845153809, 0.0962979793548584
1000, 1.0, 7, 0.1493210792541504, 0.09431886672973633
1000, 1.0, 8, 0.13850688934326172, 0.09713315963745117
1000, 1.0, 9, 0.145888090133667, 0.09441828727722168
